Dato;Måltid;Kalorier;Fett (g);Mettet fett;Flerumettet fett;Enumettet fett;Transfett;Kolesterol;Natrium (mg);Kalium;Karbohydrater (g);Fiber;Sukker;Protein (g);A-vitamin;C-vitamin;Kalsium;Jern;export_headers.note
2020-10-05;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-05;Lunsj;1230.7;75.9;18.7;10.4;21.0;0.0;45.0;1080.0;190.0;75.7;0.0;24.5;62.0;1.7;0.0;0.7;3.0;
2020-10-05;Snacks;521.0;20.5;3.0;4.0;2.0;0.0;0.0;0.0;0.0;94.2;21.0;51.0;15.0;0.0;0.0;0.0;0.0;
2020-10-05;Kveldsmat;427.2;19.6;4.9;5.2;7.8;0.0;197.9;273.0;148.1;33.4;5.0;10.2;26.5;0.0;0.0;152.1;10.0;
2020-10-06;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-06;Lunsj;757.5;31.7;12.1;3.0;10.3;0.6;45.3;387.9;508.4;69.7;7.1;10.1;41.8;23.6;0.0;62.0;0.0;
2020-10-06;Middag;1037.5;64.0;27.0;0.0;0.0;0.0;0.0;5634.0;0.0;77.1;8.0;11.1;34.3;339.0;4.0;4.0;3.0;
2020-10-06;Snacks;379.0;14.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;42.2;0.0;17.0;21.5;0.0;0.0;0.0;0.0;
2020-10-06;Kveldsmat;54.0;0.2;0.0;0.0;0.0;0.0;0.0;88.5;0.0;10.1;4.5;9.8;1.0;508.5;6.0;6.0;4.5;
2020-10-07;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-07;Lunsj;897.7;39.2;5.7;0.0;0.0;0.0;0.0;0.1;0.0;105.0;0.8;7.0;30.2;0.0;0.0;0.0;0.0;
2020-10-07;Middag;950.7;39.1;11.5;5.9;10.8;0.0;0.0;2275.0;0.0;73.5;4.7;4.4;73.2;0.0;0.0;0.0;0.0;
2020-10-07;Snacks;848.6;30.8;16.8;0.8;6.6;0.9;67.9;478.9;762.6;85.5;13.2;7.5;49.7;216.8;19.6;103.9;1.8;
2020-10-08;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-08;Lunsj;576.7;29.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.2;0.0;0.0;10.1;0.0;0.0;0.0;0.0;
2020-10-08;Middag;802.2;27.6;0.0;0.0;0.0;0.0;0.0;83.2;0.0;107.3;0.3;1.4;27.8;0.0;0.0;0.0;0.0;
2020-10-08;Snacks;817.6;38.6;19.7;0.4;5.5;0.9;65.0;442.4;789.6;64.6;7.2;3.8;48.0;33.8;0.0;94.3;0.0;
2020-10-08;Kveldsmat;521.1;20.7;7.5;0.0;0.0;0.0;75.0;1036.1;0.0;22.7;2.1;4.2;60.0;0.0;0.0;15.0;3.8;
2020-10-09;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-09;Middag;1394.8;32.8;13.6;0.0;0.0;0.0;0.0;2.2;138.7;167.3;5.0;6.0;67.1;0.0;0.0;2.0;6.0;
2020-10-09;Snacks;1317.2;64.3;20.3;0.4;5.5;0.9;65.0;568.7;829.0;120.7;13.3;37.1;56.5;35.5;17.0;106.2;0.2;
2020-10-10;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-10;Middag;1398.3;32.9;13.6;0.0;0.0;0.0;0.0;2.2;138.7;167.9;5.0;6.0;67.3;0.0;0.0;2.0;6.0;
2020-10-10;Snacks;1282.9;62.3;18.9;0.4;5.0;0.8;58.4;519.5;729.5;119.4;13.4;36.7;53.8;32.2;17.8;95.4;0.2;
2020-10-11;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
2020-10-11;Middag;980.2;39.0;13.1;0.6;2.3;0.0;0.0;80.8;0.0;108.0;6.0;2.6;26.4;9.0;0.0;0.0;0.0;
2020-10-11;Snacks;1346.7;38.0;18.4;0.4;4.5;0.7;52.6;814.5;665.6;187.6;12.0;77.4;54.3;29.2;17.8;87.5;0.2;
2020-10-11;Kveldsmat;545.0;32.0;19.0;0.0;1.0;0.0;0.0;0.5;0.0;55.0;2.1;54.0;7.8;0.0;0.0;0.0;0.0;
2020-10-12;Frokost;187.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;43.0;0.0;0.0;40.0;0.0;
